[det(dog-2, A-1), nsubj(toy-6, dog-2), cop(toy-6, is-3), case(toy-6, with-4), det(toy-6, a-5), root(ROOT-0, toy-6), punct(toy-6, .-7)] 	[det(dog-2, A-1), nsubj(has-3, dog-2), root(ROOT-0, has-3), det(toy-5, a-4), dobj(has-3, toy-5), punct(has-3, .-6)] 	1
[root(ROOT-0, Man-1), case(costume-4, in-2), amod(costume-4, scottish-3), nmod:in(Man-1, costume-4), acl(costume-4, playing-5), dobj(playing-5, bagpipes-6), case(day-10, on-7), det(day-10, a-8), amod(day-10, rainy-9), nmod:on(playing-5, day-10), case(sidewalk-13, on-11), det(sidewalk-13, the-12), nmod:on(day-10, sidewalk-13), punct(Man-1, .-14)] 	[nummod(girls-2, Two-1), nsubj(swaying-3, girls-2), root(ROOT-0, swaying-3), dobj(swaying-3, side-4), case(side-6, by-5), nmod:by(swaying-3, side-6), case(park-9, in-7), det(park-9, a-8), nmod:in(side-6, park-9), case(day-13, on-10), det(day-13, a-11), amod(day-13, warm-12), nmod:on(swaying-3, day-13), punct(swaying-3, .-14)] 	13
[root(ROOT-0, Cyclist-1), case(forest-4, in-2), det(forest-4, a-3), nmod:in(Cyclist-1, forest-4), acl(forest-4, covered-5), case(snow-7, with-6), nmod:with(covered-5, snow-7), case(night-9, at-8), nmod:at(Cyclist-1, night-9)] 	[det(skier-2, The-1), nsubj(ground-7, skier-2), cop(ground-7, is-3), case(ground-7, near-4), det(ground-7, the-5), amod(ground-7, snowy-6), root(ROOT-0, ground-7), punct(ground-7, .-8)] 	14
[det(man-2, A-1), nsubj(takes-3, man-2), root(ROOT-0, takes-3), det(photo-5, a-4), dobj(takes-3, photo-5), case(girl-8, of-6), det(girl-8, a-7), nmod:of(photo-5, girl-8), cc(takes-3, and-9), nsubj(water-14, she-10), cop(water-14, is-11), case(water-14, near-12), det(water-14, the-13), conj:and(takes-3, water-14), punct(takes-3, .-15)] 	[det(girl-2, A-1), nsubj(displaying-4, girl-2), aux(displaying-4, is-3), root(ROOT-0, displaying-4), dobj(displaying-4, herself-5), case(friend-10, in-6), mwe(in-6, front-7), mwe(in-6, of-8), nmod:poss(friend-10, her-9), nmod:in_front_of(displaying-4, friend-10), punct(displaying-4, .-11)] 	15
[det(lady-2, A-1), nsubj(singing-4, lady-2), cop(singing-4, is-3), root(ROOT-0, singing-4)] 	[det(singing-3, A-1), compound(singing-3, lady-2), root(ROOT-0, singing-3), punct(singing-3, .-4)] 	16
[det(man-2, The-1), nsubj(artist-6, man-2), cop(artist-6, is-3), det(artist-6, a-4), compound(artist-6, street-5), root(ROOT-0, artist-6), cc(artist-6, and-7), conj:and(artist-6, has-8), dobj(has-8, people-9), acl(people-9, watching-10), nmod:poss(tricks-12, his-11), dobj(watching-10, tricks-12)] 	[det(man-3, A-1), amod(man-3, young-2), nsubj(surfs-4, man-3), root(ROOT-0, surfs-4), det(wave-7, a-5), amod(wave-7, big-6), dobj(surfs-4, wave-7), mark(quiet-11, while-8), nsubj(quiet-11, others-9), cop(quiet-11, are-10), advcl(surfs-4, quiet-11), case(background-14, in-12), det(background-14, the-13), nmod:in(quiet-11, background-14), punct(surfs-4, .-15)] 	17
[det(captain-2, A-1), root(ROOT-0, captain-2), acl(captain-2, receiving-3), det(prize-5, a-4), dobj(receiving-3, prize-5), punct(captain-2, .-6)] 	[case(performance-4, After-1), det(performance-4, a-2), amod(performance-4, great-3), nmod:after(receives-8, performance-4), punct(receives-8, ,-5), det(man-7, the-6), nsubj(receives-8, man-7), root(ROOT-0, receives-8), det(ovation-11, a-9), compound(ovation-11, standing-10), dobj(receives-8, ovation-11), mark(receiving-13, after-12), advcl(receives-8, receiving-13), det(prize-15, a-14), dobj(receiving-13, prize-15), punct(receives-8, .-16)] 	18
[det(man-2, The-1), nsubj(riding-4, man-2), aux(riding-4, is-3), root(ROOT-0, riding-4), det(monocycle-6, a-5), dobj(riding-4, monocycle-6), case(parrot-9, with-7), det(parrot-9, a-8), nmod:with(riding-4, parrot-9), case(shoulder-12, on-10), nmod:poss(shoulder-12, his-11), nmod:on(parrot-9, shoulder-12)] 	[det(woman-2, A-1), nsubj(riding-4, woman-2), aux(riding-4, is-3), root(ROOT-0, riding-4), nmod:poss(bicycle-6, her-5), dobj(riding-4, bicycle-6), case(helmet-9, with-7), det(helmet-9, a-8), nmod:with(riding-4, helmet-9), acl(helmet-9, on-10), punct(riding-4, .-11)] 	19
[det(boy-3, A-1), amod(boy-3, little-2), nsubj(holding-5, boy-3), aux(holding-5, is-4), root(ROOT-0, holding-5), det(ring-8, a-6), compound(ring-8, wedding-7), dobj(holding-5, ring-8), punct(holding-5, .-9)] 	[det(boy-3, A-1), amod(boy-3, little-2), nsubj(holds-7, boy-3), case(suit-6, in-4), det(suit-6, a-5), nmod:in(boy-3, suit-6), root(ROOT-0, holds-7), det(ring-9, the-8), dobj(holds-7, ring-9), case(wedding-12, for-10), det(wedding-12, a-11), nmod:for(holds-7, wedding-12), punct(holds-7, .-13)] 	20
[det(person-2, Each-1), nsubj(holding-5, person-2), acl(person-2, shown-3), aux(holding-5, is-4), root(ROOT-0, holding-5), det(puppy-7, a-6), dobj(holding-5, puppy-7), punct(holding-5, .-8)] 	[det(person-2, A-1), nsubj(talking-4, person-2), aux(talking-4, is-3), root(ROOT-0, talking-4), punct(talking-4, .-5)] 	21
[det(girl-2, The-1), nsubj(enjoying-4, girl-2), aux(enjoying-4, is-3), root(ROOT-0, enjoying-4), det(day-6, the-5), dobj(enjoying-4, day-6), punct(enjoying-4, .-7)] 	[det(woman-2, The-1), nsubj(celebrating-4, woman-2), aux(celebrating-4, is-3), root(ROOT-0, celebrating-4), compound(Year-6, New-5), dobj(celebrating-4, Year-6), punct(celebrating-4, .-7)] 	22
[det(protester-3, A-1), amod(protester-3, young-2), nsubj(holds-4, protester-3), root(ROOT-0, holds-4), compound:prt(holds-4, up-5), det(sign-7, a-6), dobj(holds-4, sign-7), case(war-10, against-8), det(war-10, the-9), nmod:against(sign-7, war-10), punct(holds-4, .-11)] 	[det(man-2, A-1), root(ROOT-0, man-2), acl(man-2, waving-3), nmod:poss(hand-5, his-4), dobj(waving-3, hand-5), mark(giving-7, while-6), advcl(waving-3, giving-7), det(speech-9, a-8), dobj(giving-7, speech-9), punct(man-2, .-10)] 	23
[det(couple-2, A-1), nsubj(sitting-4, couple-2), aux(sitting-4, is-3), root(ROOT-0, sitting-4), case(grass-7, on-5), det(grass-7, the-6), nmod:on(sitting-4, grass-7), case(feet-10, with-8), nmod:poss(feet-10, their-9), nmod:with(sitting-4, feet-10), acl(feet-10, crossed-11), punct(sitting-4, ,-12), cc(sitting-4, and-13), nsubj(kissing-16, they-14), aux(kissing-16, are-15), conj:and(sitting-4, kissing-16), punct(sitting-4, .-17)] 	[det(man-2, The-1), nsubj(move-6, man-2), cc(man-2, and-3), det(woman-5, the-4), conj:and(man-2, woman-5), root(ROOT-0, move-6), advmod(move-6, away-7), case(other-10, from-8), det(other-10, each-9), nmod:from(move-6, other-10), punct(move-6, .-11)] 	24
[det(water-2, The-1), nsubj(hot-5, water-2), cop(hot-5, is-3), advmod(hot-5, very-4), root(ROOT-0, hot-5), punct(hot-5, .-6)] 	[det(water-2, The-1), nsubj(cold-8, water-2), case(pool-5, in-3), det(pool-5, the-4), nmod:in(water-2, pool-5), cop(cold-8, is-6), advmod(cold-8, very-7), root(ROOT-0, cold-8), punct(cold-8, .-9)] 	25
[nummod(guitarists-2, Two-1), root(ROOT-0, guitarists-2), case(sides-5, on-3), det(sides-5, both-4), nmod:on(guitarists-2, sides-5), case(stage-8, of-6), det(stage-8, a-7), nmod:of(sides-5, stage-8), cc(stage-8, and-9), det(drummer-11, a-10), conj:and(stage-8, drummer-11), case(drum-15, behind-12), det(drum-15, a-13), amod(drum-15, red-14), nmod:behind(drummer-11, drum-15), case(center-18, in-16), det(center-18, the-17), nmod:in(drum-15, center-18), punct(guitarists-2, .-19)] 	[det(band-2, A-1), root(ROOT-0, band-2), acl(band-2, placed-3), case(stage-6, on-4), det(stage-6, the-5), nmod:on(placed-3, stage-6), punct(band-2, ,-7), case(guitarist-10, with-8), det(guitarist-10, the-9), nmod:with(band-2, guitarist-10), cc(guitarist-10, and-11), det(player-14, the-12), compound(player-14, bass-13), conj:and(guitarist-10, player-14), case(front-16, in-15), nmod:in(guitarist-10, front-16)] 	26
[nsubj(buy-5, People-1), cop(buy-5, are-2), mark(buy-5, about-3), mark(buy-5, to-4), root(ROOT-0, buy-5), det(painting-7, a-6), dobj(buy-5, painting-7), case(fair-10, at-8), det(fair-10, a-9), nmod:at(buy-5, fair-10), punct(buy-5, .-11)] 	[det(couple-2, A-1), nsubj(buy-15, couple-2), case(people-4, of-3), nmod:of(couple-2, people-4), case(museum-7, in-5), det(museum-7, a-6), nmod:in(couple-2, museum-7), acl(museum-7, looking-8), case(shop-12, in-9), det(shop-12, the-10), compound(shop-12, gift-11), nmod:in(looking-8, shop-12), aux(buy-15, will-13), advmod(buy-15, potentially-14), root(ROOT-0, buy-15), dobj(buy-15, something-16), punct(buy-15, .-17)] 	27
[det(group-2, A-1), nsubj(poses-7, group-2), case(girls-4, of-3), nmod:of(group-2, girls-4), acl(group-2, wearing-5), dobj(wearing-5, headscarves-6), root(ROOT-0, poses-7), case(photo-11, for-8), det(photo-11, a-9), compound(photo-11, group-10), nmod:for(poses-7, photo-11), punct(poses-7, .-12)] 	[det(girl-2, A-1), nsubj(paint-9, girl-2), case(umbrella-6, with-3), det(umbrella-6, a-4), amod(umbrella-6, red-5), nmod:with(girl-2, umbrella-6), cc(umbrella-6, and-7), conj:and(umbrella-6, face-8), root(ROOT-0, paint-9), xcomp(paint-9, standing-10), case(girls-14, next-11), mwe(next-11, to-12), amod(girls-14, other-13), nmod:next_to(standing-10, girls-14), punct(paint-9, .-15)] 	28
[det(parade-2, A-1), root(ROOT-0, parade-2), case(which-4, in-3), nmod:in(is-6, which-4), expl(is-6, there-5), acl:relcl(parade-2, is-6), det(woman-8, a-7), nsubj(is-6, woman-8), acl(woman-8, dressed-9), case(white-11, in-10), nmod:in(dressed-9, white-11), case(stilts-13, on-12), nmod:on(white-11, stilts-13), punct(parade-2, .-14)] 	[expl(is-2, There-1), root(ROOT-0, is-2), det(girl-4, a-3), nsubj(is-2, girl-4), case(dress-8, in-5), det(dress-8, a-6), amod(dress-8, red-7), nmod:in(girl-4, dress-8), acl(dress-8, standing-9), case(dock-12, on-10), det(dock-12, the-11), nmod:on(standing-9, dock-12), punct(is-2, .-13)] 	29
[det(boy-3, A-1), amod(boy-3, young-2), nsubj(sings-4, boy-3), root(ROOT-0, sings-4), case(baseball-7, to-5), det(baseball-7, a-6), nmod:to(sings-4, baseball-7), case(course-11, outside-8), det(course-11, the-9), compound(course-11, golf-10), nmod:outside(baseball-7, course-11)] 	[det(man-2, A-1), nsubj(playing-7, man-2), cc(man-2, and-3), det(boy-5, a-4), conj:and(man-2, boy-5), aux(playing-7, are-6), root(ROOT-0, playing-7), case(water-10, in-8), det(water-10, the-9), nmod:in(playing-7, water-10), punct(playing-7, .-11)] 	30
[det(woman-2, A-1), root(ROOT-0, woman-2), dep(woman-2, feeling-3), acl(feeling-3, scared-4), case(horse-7, on-5), det(horse-7, a-6), nmod:on(scared-4, horse-7), case(mountain-11, on-8), det(mountain-11, a-9), amod(mountain-11, snowy-10), nmod:on(scared-4, mountain-11)] 	[det(girl-2, A-1), root(ROOT-0, girl-2), acl(girl-2, sitting-3), case(snow-6, in-4), det(snow-6, the-5), nmod:in(sitting-3, snow-6)] 	31
[nummod(men-2, Two-1), root(ROOT-0, men-2), case(suits-5, in-3), amod(suits-5, red-4), nmod:in(men-2, suits-5), acl(suits-5, practicing-6), amod(arts-8, martial-7), dobj(practicing-6, arts-8), punct(men-2, .-9)] 	[nummod(men-2, Two-1), root(ROOT-0, men-2), case(training-7, in-3), amod(training-7, martial-4), compound(training-7, arts-5), compound(training-7, uniforms-6), nmod:in(men-2, training-7), punct(men-2, .-8)] 	32
[nsubj(standing-3, People-1), aux(standing-3, are-2), root(ROOT-0, standing-3), case(public-5, in-4), nmod:in(standing-3, public-5), punct(standing-3, .-6)] 	[nsubj(public-4, People-1), cop(public-4, are-2), case(public-4, in-3), root(ROOT-0, public-4), punct(public-4, .-5)] 	33
[det(skater-2, A-1), root(ROOT-0, skater-2), case(sweatshirt-7, in-3), det(sweatshirt-7, a-4), amod(sweatshirt-7, black-5), amod(sweatshirt-7, hooded-6), nmod:in(skater-2, sweatshirt-7), acl(sweatshirt-7, running-8), det(grind-12, a-9), amod(grind-12, great-10), compound(grind-12, rail-11), dobj(running-8, grind-12), case(skateboard-15, on-13), nmod:poss(skateboard-15, her-14), nmod:on(running-8, skateboard-15), punct(skater-2, .-16)] 	[det(skater-2, A-1), root(ROOT-0, skater-2), case(sweatshirt-7, in-3), det(sweatshirt-7, a-4), amod(sweatshirt-7, white-5), amod(sweatshirt-7, hooded-6), nmod:in(skater-2, sweatshirt-7), acl(sweatshirt-7, running-8), det(grind-12, a-9), amod(grind-12, great-10), compound(grind-12, rail-11), dobj(running-8, grind-12), case(skateboard-15, on-13), nmod:poss(skateboard-15, her-14), nmod:on(running-8, skateboard-15), punct(skater-2, .-16)] 	34
[det(girl-2, A-1), root(ROOT-0, girl-2), case(pants-5, in-3), amod(pants-5, pink-4), nmod:in(girl-2, pants-5), acl(pants-5, playing-6), case(floor-9, on-7), det(floor-9, the-8), nmod:on(playing-6, floor-9), punct(girl-2, .-10)] 	[det(boy-2, A-1), nsubj(plays-6, boy-2), case(pants-5, in-3), amod(pants-5, blue-4), nmod:in(boy-2, pants-5), root(ROOT-0, plays-6), case(floor-9, on-7), det(floor-9, the-8), nmod:on(plays-6, floor-9)] 	35
[compound(game-2, Night-1), root(ROOT-0, game-2), case(league-6, in-3), det(league-6, the-4), amod(league-6, small-5), nmod:in(game-2, league-6)] 	[compound(players-2, Soccer-1), root(ROOT-0, players-2), case(day-5, on-3), compound(day-5, game-4), nmod:on(players-2, day-5), punct(players-2, .-6)] 	36
[det(woman-3, A-1), amod(woman-3, pink-2), nsubj(holding-5, woman-3), aux(holding-5, is-4), root(ROOT-0, holding-5), nmod:poss(daughter-7, her-6), dobj(holding-5, daughter-7), punct(holding-5, .-8)] 	[det(woman-2, A-1), nsubj(walking-4, woman-2), aux(walking-4, is-3), root(ROOT-0, walking-4), case(daughter-7, with-5), nmod:poss(daughter-7, her-6), nmod:with(walking-4, daughter-7), punct(walking-4, .-8)] 	37
[nsubj(watching-3, People-1), aux(watching-3, are-2), root(ROOT-0, watching-3), det(concert-6, a-4), compound(concert-6, rap-5), dobj(watching-3, concert-6), case(Stadium-10, inside-7), det(Stadium-10, the-8), compound(Stadium-10, Yankee-9), nmod:inside(concert-6, Stadium-10)] 	[det(crowd-2, The-1), nsubj(goes-3, crowd-2), root(ROOT-0, goes-3), xcomp(goes-3, crazy-4), case(band-7, over-5), det(band-7, the-6), nmod:over(crazy-4, band-7)] 	38
[det(man-2, A-1), nsubj(watching-4, man-2), aux(watching-4, is-3), root(ROOT-0, watching-4), det(set-8, a-5), amod(set-8, small-6), compound(set-8, television-7), dobj(watching-4, set-8), case(alcove-11, in-9), det(alcove-11, the-10), nmod:in(set-8, alcove-11), case(building-15, of-12), det(building-15, a-13), amod(building-15, red-14), nmod:of(alcove-11, building-15), punct(watching-4, .-16)] 	[det(child-2, A-1), nsubj(standing-8, child-2), case(balloon-6, with-3), det(balloon-6, a-4), amod(balloon-6, green-5), nmod:with(child-2, balloon-6), aux(standing-8, is-7), root(ROOT-0, standing-8), case(building-12, outside-9), det(building-12, a-10), amod(building-12, large-11), nmod:outside(standing-8, building-12), punct(standing-8, .-13)] 	39
[nsubj(watching-8, Father-1), cc(Father-1, and-2), conj:and(Father-1, son-3), acl(Father-1, wearing-4), compound(outfits-6, cowboy-5), dobj(wearing-4, outfits-6), aux(watching-8, are-7), root(ROOT-0, watching-8), det(rodeo-10, a-9), dobj(watching-8, rodeo-10), punct(watching-8, .-11)] 	[det(boy-3, A-1), amod(boy-3, little-2), nsubj(wearing-8, boy-3), cc(boy-3, and-4), nmod:poss(father-6, his-5), conj:and(boy-3, father-6), aux(wearing-8, are-7), root(ROOT-0, wearing-8), amod(shirts-11, blue-9), compound(shirts-11, plaid-10), dobj(wearing-8, shirts-11), cc(wearing-8, and-12), conj:and(wearing-8, watching-13), det(rodeo-15, a-14), dobj(watching-13, rodeo-15), punct(wearing-8, .-16)] 	40
[det(man-2, A-1), nsubj(holding-4, man-2), aux(holding-4, is-3), root(ROOT-0, holding-4), det(sign-7, an-5), compound(sign-7, advertising-6), dobj(holding-4, sign-7), punct(holding-4, .-8)] 	[det(man-2, A-1), nsubj(holding-4, man-2), aux(holding-4, is-3), root(ROOT-0, holding-4), det(sign-6, a-5), dobj(holding-4, sign-6), case(restaurant-9, for-7), det(restaurant-9, a-8), nmod:for(sign-6, restaurant-9), punct(holding-4, .-10)] 	41
[det(jacket-2, The-1), nsubjpass(made-4, jacket-2), auxpass(made-4, is-3), root(ROOT-0, made-4), case(leather-6, of-5), nmod:of(made-4, leather-6)] 	[det(jacket-2, The-1), nsubjpass(made-4, jacket-2), auxpass(made-4, is-3), root(ROOT-0, made-4), case(leather-6, of-5), nmod:of(made-4, leather-6)] 	42
[nummod(women-2, Three-1), nsubj(standing-4, women-2), aux(standing-4, are-3), root(ROOT-0, standing-4), advmod(standing-4, together-5), punct(standing-4, .-6)] 	[nummod(women-2, Two-1), nsubj(standing-4, women-2), aux(standing-4, are-3), root(ROOT-0, standing-4), advmod(standing-4, together-5), punct(standing-4, .-6)] 	43
[amod(girl-2, Little-1), root(ROOT-0, girl-2), acl(girl-2, playing-3), case(doll-6, with-4), nmod:poss(doll-6, her-5), nmod:with(playing-3, doll-6)] 	[det(mother-2, A-1), nsubj(plays-3, mother-2), root(ROOT-0, plays-3), dobj(plays-3, peek-a-boo-4), case(baby-7, with-5), nmod:poss(baby-7, her-6), nmod:with(plays-3, baby-7)] 	44
[det(man-2, A-1), nsubj(shows-3, man-2), root(ROOT-0, shows-3), det(clothes-5, some-4), dobj(shows-3, clothes-5), mark(wearing-7, while-6), advcl(shows-3, wearing-7), amod(shoes-9, blue-8), dobj(wearing-7, shoes-9), punct(shows-3, .-10)] 	[det(man-2, A-1), nsubj(wearing-7, man-2), cc(man-2, and-3), det(woman-5, a-4), conj:and(man-2, woman-5), aux(wearing-7, are-6), root(ROOT-0, wearing-7), dobj(wearing-7, hats-8), case(colors-11, of-9), amod(colors-11, different-10), nmod:of(hats-8, colors-11), case(date-14, for-12), nmod:poss(date-14, their-13), nmod:for(wearing-7, date-14), punct(wearing-7, .-15)] 	45
[nummod(women-2, Three-1), nsubj(knitting-3, women-2), root(ROOT-0, knitting-3), dobj(knitting-3, stockings-4)] 	[nsubj(sewing-3, Women-1), aux(sewing-3, are-2), root(ROOT-0, sewing-3), cc(sewing-3, and-4), conj:and(sewing-3, knitting-5), compound(blankets-7, baby-6), dobj(knitting-5, blankets-7), punct(sewing-3, .-8)] 	46
[det(child-2, A-1), nsubj(inside-4, child-2), cop(inside-4, is-3), root(ROOT-0, inside-4), punct(inside-4, .-5)] 	[det(child-2, A-1), nsubj(inside-4, child-2), cop(inside-4, is-3), root(ROOT-0, inside-4), punct(inside-4, .-5)] 	47
[det(woman-2, A-1), nsubj(climbs-7, woman-2), case(shirt-6, in-3), det(shirt-6, a-4), amod(shirt-6, striped-5), nmod:in(woman-2, shirt-6), root(ROOT-0, climbs-7), det(mountain-9, a-8), dobj(climbs-7, mountain-9), punct(climbs-7, .-10)] 	[det(man-2, A-1), root(ROOT-0, man-2), case(jacket-6, in-3), det(jacket-6, a-4), amod(jacket-6, red-5), nmod:in(man-2, jacket-6), acl(jacket-6, climbing-7), det(mountain-9, a-8), dobj(climbing-7, mountain-9)] 	48
[det(man-2, A-1), nsubj(plays-6, man-2), case(mustache-5, with-3), det(mustache-5, a-4), nmod:with(man-2, mustache-5), root(ROOT-0, plays-6), det(saxophone-8, the-7), dobj(plays-6, saxophone-8), punct(plays-6, .-9)] 	[det(man-2, A-1), nsubj(plays-6, man-2), case(beard-5, with-3), det(beard-5, a-4), nmod:with(man-2, beard-5), root(ROOT-0, plays-6), det(guitar-8, the-7), dobj(plays-6, guitar-8), punct(plays-6, .-9)] 	49
[det(child-2, A-1), nsubj(driving-4, child-2), aux(driving-4, is-3), root(ROOT-0, driving-4), det(car-8, a-5), amod(car-8, small-6), compound(car-8, race-7), dobj(driving-4, car-8), punct(driving-4, .-9)] 	[det(child-2, A-1), nsubj(riding-4, child-2), aux(riding-4, is-3), root(ROOT-0, riding-4), det(bicycle-6, a-5), dobj(riding-4, bicycle-6), punct(riding-4, .-7)] 	50
[det(man-2, The-1), nsubj(threw-3, man-2), root(ROOT-0, threw-3), det(stick-5, a-4), dobj(threw-3, stick-5), punct(threw-3, .-6)] 	[det(man-2, The-1), nsubj(throws-3, man-2), root(ROOT-0, throws-3), det(stick-5, a-4), dobj(throws-3, stick-5), punct(throws-3, .-6)] 	51
[det(man-2, The-1), nsubj(wears-3, man-2), root(ROOT-0, wears-3), det(sweater-6, a-4), amod(sweater-6, blue-5), dobj(wears-3, sweater-6), cc(wears-3, and-7), cop(barefoot-9, is-8), conj:and(wears-3, barefoot-9), case(court-12, on-10), det(court-12, a-11), nmod:on(barefoot-9, court-12), punct(wears-3, .-13)] 	[det(man-2, The-1), nsubj(standing-4, man-2), aux(standing-4, is-3), root(ROOT-0, standing-4), case(store-7, in-5), det(store-7, a-6), nmod:in(standing-4, store-7), acl(store-7, wearing-8), det(shirt-11, a-9), amod(shirt-11, blue-10), dobj(wearing-8, shirt-11), punct(standing-4, .-12)] 	52
