[A/DT, person/NN, is/VBZ, on/IN, a/DT, baseball/NN, team/NN, ./.] 	[A/DT, person/NN, is/VBZ, playing/VBG, basketball/NN, on/IN, a/DT, team/NN, ./.] 	1
[The/DT, yard/NN, has/VBZ, a/DT, dog/NN, ./.] 	[The/DT, dog/NN, is/VBZ, running/VBG, after/IN, another/DT, dog/NN, ./.] 	22
[The/DT, woman/NN, is/VBZ, drinking/VBG, lemonade/NN, and/CC, watching/VBG, T.V./NNP] 	[The/DT, man/NN, is/VBZ, sitting/VBG, drinking/NN, coffee/NN, ./.] 	23
[Three/CD, women/NNS, cook/VBP, ./.] 	[Two/CD, women/NNS, cooking/NN, ./.] 	24
[The/DT, woman/NN, is/VBZ, kneeling/VBG, next/JJ, to/TO, a/DT, cat/NN, ./.] 	[A/DT, girl/NN, is/VBZ, standing/VBG, next/JJ, to/TO, a/DT, man/NN, ./.] 	25
[The/DT, young/JJ, adult/NN, are/VBP, cold/JJ] 	[Asian/JJ, children/NNS, are/VBP, playing/VBG, with/IN, a/DT, dog/NN, ./.] 	26
[Three/CD, guys/NNS, playing/VBG, a/DT, pro/JJ, game/NN, of/IN, basketball/NN, ./.] 	[two/CD, guys/NNS, playing/VBG, a/DT, game/NN, of/IN, baseball/NN, ./.] 	27
[A/DT, sad/JJ, man/NN, is/VBZ, jumping/VBG, over/RP, a/DT, small/JJ, stream/NN, to/TO, meet/VB, his/PRP$, companion/NN, on/IN, the/DT, other/JJ, side/NN, ./.] 	[A/DT, man/NN, is/VBZ, jumping/VBG, over/RP, a/DT, stream/NN, to/TO, meet/VB, his/PRP$, companion/NN, on/IN, the/DT, other/JJ, side/NN, ./.] 	28
[The/DT, boys/NNS, are/VBP, earning/VBG, their/PRP$, next/JJ, belt/NN, in/IN, karate/NN, ./.] 	[Five/CD, girls/NNS, and/CC, one/CD, boy/NN, are/VBP, in/IN, their/PRP$, swimsuits/NNS, all/DT, in/IN, the/DT, middle/NN, of/IN, jumping/VBG, into/IN, the/DT, pool/NN, ./.] 	29
[A/DT, woman/NN, is/VBZ, digging/NN, in/IN, the/DT, sand/NN, ./.] 	[A/DT, man/NN, is/VBZ, buried/VBN, in/IN, the/DT, sand/NN, ./.] 	30
[A/DT, woman/NN, drives/VBZ, a/DT, golf/NN, cart/NN, ./.] 	[A/DT, man/NN, riding/VBG, a/DT, cart/NN, ./.] 	31
[A/DT, woman/NN, is/VBZ, bungee/JJ, jumping/VBG, ./.] 	[A/DT, girl/NN, is/VBZ, bungee/JJ, jumping/VBG, ./.] 	32
[A/DT, clown/NN, performs/VBZ, for/IN, brother/NN, and/CC, sister/NN, as/IN, the/DT, rest/NN, of/IN, the/DT, party/NN, watches/NNS, ./.] 	[A/DT, blond-haired/JJ, child/NN, performing/VBG, on/IN, the/DT, trumpet/NN, in/IN, front/NN, of/IN, a/DT, house/NN, while/IN, his/PRP$, younger/JJR, brother/NN, watches/NNS, ./.] 	33
[A/DT, person/NN, filming/VBG, the/DT, outdoors/NNS, ./.] 	[There/EX, is/VBZ, a/DT, couple/NN, outdoors/RB, ./.] 	34
[A/DT, human/JJ, riding/VBG, a/DT, skateboard/NN, ./.] 	[A/DT, child/NN, is/VBZ, riding/VBG, a/DT, skateboard/NN, ./.] 	35
[A/DT, woman/NN, in/IN, a/DT, plaid/NN, outfit/NN, is/VBZ, looking/VBG, through/IN, a/DT, bag/NN, of/IN, produce/NN, ./.] 	[This/DT, is/VBZ, the/DT, picture/NN, of/IN, a/DT, woman/NN, in/IN, a/DT, flowered/JJ, dress/NN, ,/,, toting/VBG, something/NN, in/IN, a/DT, bucket/NN, ./.] 	36
[Four/CD, girls/NNS, happily/RB, walk/VBP, down/RP, a/DT, sidewalk/NN, ./.] 	[Three/CD, young/JJ, girls/NNS, walk/VBP, down/IN, a/DT, sidewalk/NN, ./.] 	37
[The/DT, tennis/NN, player/NN, hit/VBD, the/DT, ball/NN, into/IN, outer/JJ, space/NN, and/CC, broke/VBD, the/DT, death/NN, star/NN, ./.] 	[A/DT, female/JJ, tennis/NN, player/NN, is/VBZ, leaping/VBG, into/IN, the/DT, air/NN, to/TO, hit/VB, the/DT, ball/NN, ./.] 	38
[A/DT, boy/NN, climbs/VBZ, a/DT, forest/NN, hill/NN, ./.] 	[A/DT, boy/NN, is/VBZ, climbing/VBG, a/DT, hill/NN, ./.] 	39
[a/DT, group/NN, of/IN, navy/NN, seals/NNS, are/VBP, singing/NN] 	[A/DT, group/NN, of/IN, military/JJ, personnel/NNS, are/VBP, playing/VBG, in/IN, a/DT, brass/NN, quintet/NN, ./.] 	40
[Blond/JJ, boy/NN, jumping/VBG, onto/IN, deck/NN, ./.] 	[A/DT, boy/NN, jumping/VBG, down/RP, a/DT, wet/JJ, inflatable/JJ, slide/NN, ./.] 	41
[A/DT, man/NN, uses/VBZ, a/DT, chainsaw/NN, to/TO, sculpt/VB, a/DT, phallic/JJ, ice/NN, sculpture/NN, ./.] 	[A/DT, man/NN, is/VBZ, using/VBG, a/DT, chainsaw/NN, to/TO, carve/VB, a/DT, wooden/JJ, sculpture/NN, ./.] 	42
[A/DT, group/NN, of/IN, male/JJ, construction/NN, workers/NNS, repair/VBP, railroad/NN, tracks/NNS, on/IN, a/DT, cloudy/JJ, day/NN] 	[A/DT, crew/NN, of/IN, workers/NNS, working/VBG, on/IN, a/DT, railroad/NN, track/NN, ./.] 	43
[A/DT, man/NN, playing/VBG, the/DT, violin/NN, in/IN, the/DT, rain/NN, ./.] 	[A/DT, man/NN, playing/VBG, the/DT, guitar/NN, in/IN, the/DT, rain/NN, ./.] 	44
[The/DT, people/NNS, are/VBP, leaving/VBG, the/DT, airplane/NN, ./.] 	[The/DT, people/NNS, are/VBP, entering/VBG, the/DT, plane/NN, ./.] 	45
[The/DT, dogs/NNS, are/VBP, chasing/VBG, a/DT, cat/NN, ./.] 	[The/DT, dogs/NNS, are/VBP, chasing/VBG, a/DT, black/JJ, cat/NN, ./.] 	46
[The/DT, girl/NN, has/VBZ, something/NN, on/IN, her/PRP$, head/NN, ./.] 	[The/DT, woman/NN, has/VBZ, something/NN, with/IN, her/PRP, ./.] 	47
[the/DT, tan/NN, dog/NN, is/VBZ, playing/VBG, with/IN, the/DT, red/JJ, dog/NN, out/IN, in/IN, the/DT, snow/NN] 	[A/DT, yellow/JJ, dog/NN, is/VBZ, playing/VBG, in/IN, the/DT, snow/NN, ./.] 	48
[People/NNS, making/VBG, a/DT, structure/NN, out/IN, of/IN, cards/NNS, ./.] 	[Two/CD, people/NNS, are/VBP, together/RB, and/CC, one/CD, is/VBZ, using/VBG, a/DT, piece/NN, of/IN, clothing/NN, in/IN, a/DT, different/JJ, way/NN, than/IN, intended/VBN, ./.] 	49
[a/DT, girl/NN, with/IN, vases/NNS, in/IN, the/DT, background/NN, inside/IN, her/PRP$, house/NN] 	[The/DT, girl/NN, is/VBZ, standing/VBG, as/IN, the/DT, other/JJ, girl/NN, with/IN, glasses/NNS, works/VBZ, on/IN, her/PRP$, hand/NN, painting/NN, ./.] 	50
[There/EX, are/VBP, four/CD, people/NNS, outside/JJ, ./.] 	[Five/CD, people/NNS, are/VBP, outside/JJ, ./.] 	51
[A/DT, person/NN, sitting/VBG, in/IN, an/DT, office/NN, takes/VBZ, a/DT, picture/NN, ./.] 	[A/DT, woman/NN, is/VBZ, sitting/VBG, in/IN, an/DT, office/NN, ./.] 	52
[Girls/NNS, are/VBP, holding/VBG, hands/NNS, in/IN, blue/JJ, clothes/NNS] 	[The/DT, young/JJ, people/NNS, are/VBP, wearing/VBG, jeans/NNS, with/IN, their/PRP$, red/JJ, and/CC, green/JJ, shirts/NNS, ./.] 	53
[People/NNS, rock/VBP, jumping/VBG, into/IN, water/NN, while/IN, people/NNS, fish/NN, in/IN, the/DT, background/NN, ./.] 	[Two/CD, people/NNS, watching/VBG, the/DT, water/NN, ./.] 	54
[A/DT, man/NN, is/VBZ, demonstrating/VBG, how/WRB, to/TO, work/VB, with/IN, clay/NN, while/IN, at/IN, least/JJS, two/CD, people/NNS, observe/VBP, ./.] 	[At/IN, least/JJS, one/CD, of/IN, the/DT, three/CD, women/NNS, is/VBZ, talking/VBG, to/TO, the/DT, others/NNS, ./.] 	55
[A/DT, dog/NN, has/VBZ, a/DT, sweater/NN, on/IN, ./.] 	[A/DT, man/NN, in/IN, a/DT, suit/NN, jacket/NN, is/VBZ, sitting/VBG, on/IN, a/DT, red/JJ, couch/NN, with/IN, a/DT, cat/NN, ./.] 	56
[A/DT, blonde/JJ, woman/NN, looks/VBZ, for/IN, medical/JJ, supplies/NNS, for/IN, work/NN, in/IN, a/DT, suitcase/NN, ./.] 	[The/DT, blond/JJ, woman/NN, is/VBZ, searching/VBG, for/IN, medical/JJ, supplies/NNS, in/IN, a/DT, suitcase/NN, ./.] 	57
[A/DT, boy/NN, is/VBZ, at/IN, school/NN, taking/VBG, a/DT, test/NN, ./.] 	[The/DT, boy/NN, is/VBZ, taking/VBG, a/DT, test/NN, at/IN, school/NN, ./.] 	58
[An/DT, old/JJ, man/NN, wearing/VBG, a/DT, hat/NN, stands/VBZ, outside/IN, a/DT, shop/NN, door/NN, ./.] 	[a/DT, man/NN, in/IN, an/DT, oversized/JJ, shirt/NN, sits/VBZ, at/IN, a/DT, shop/NN] 	59
[Sculptor/NNP, applying/VBG, concrete/JJ, to/TO, large/JJ, statue/NN, of/IN, human/JJ, figure/NN, standing/NN, with/IN, no/DT, head/NN, ./.] 	[A/DT, person/NN, is/VBZ, standing/VBG, in/IN, front/NN, of/IN, a/DT, building/NN, holding/VBG, aloft/RB, some/DT, plywood/NN] 	60
[A/DT, boy/NN, with/IN, dark/JJ, hair/NN, is/VBZ, in/IN, water/NN, and/CC, is/VBZ, looking/VBG, up/RP, ./.] 	[The/DT, man/NN, is/VBZ, short/JJ, hair/NN, ./.] 	61
[A/DT, pole/NN, is/VBZ, behind/IN, a/DT, person/NN, that/WDT, is/VBZ, playing/VBG, peekaboo/NN, with/IN, a/DT, child/NN, ./.] 	[There/EX, is/VBZ, a/DT, child/NN, with/IN, a/DT, ball/NN] 	62
[A/DT, woman/NN, is/VBZ, about/IN, to/TO, paint/VB, ./.] 	[A/DT, boy/NN, is/VBZ, about/IN, to/TO, take/VB, a/DT, picture/NN, ./.] 	63
[The/DT, carriage/NN, is/VBZ, drawn/VBN, by/IN, a/DT, horse/NN, ./.] 	[A/DT, man/NN, riding/VBG, on/IN, a/DT, bicycle/NN, by/IN, side/NN, of/IN, building/NN, ./.] 	64
[a/DT, man/NN, working/VBG, at/IN, the/DT, steel/NN, mill/NN] 	[A/DT, man/NN, working/VBG, in/IN, a/DT, foundry/NN, ./.] 	65
[The/DT, young/JJ, woman/NN, is/VBZ, flirting/VBG, with/IN, the/DT, young/JJ, boy/NN, ./.] 	[The/DT, girl/NN, is/VBZ, young/JJ, and/CC, cheery/JJ, ./.] 	66
[A/DT, woman/NN, looks/VBZ, at/IN, a/DT, duck/NN, as/IN, she/PRP, walks/VBZ, behind/IN, it/PRP, ./.] 	[A/DT, woman/NN, is/VBZ, going/VBG, on/IN, a/DT, walk/NN, with/IN, her/PRP$, dog/NN, ./.] 	67
[the/DT, men/NNS, are/VBP, about/IN, to/TO, score/VB, in/IN, a/DT, water/NN, polo/NN, tournament/NN] 	[The/DT, two/CD, men/NNS, are/VBP, about/IN, to/TO, compete/VB, in/IN, a/DT, match/NN, ./.] 	68
[Man/NN, sitting/VBG, on/IN, a/DT, bench/NN, drink/NN, from/IN, a/DT, mug/NN, surrounded/VBN, by/IN, rugs/NNS, ./.] 	[A/DT, man/NN, is/VBZ, sitting/VBG, on/IN, one/CD, of/IN, two/CD, red/JJ, benches/NNS, and/CC, staring/VBG, into/IN, a/DT, kiosk/NN, ./.] 	69
[A/DT, man/NN, eats/VBZ, popcorn/NN, while/IN, watching/VBG, cartoons/NNS, late/RB, one/CD, night/NN, ./.] 	[A/DT, man/NN, and/CC, a/DT, girl/NN, are/VBP, watching/VBG, cartoons/NNS, at/IN, home/NN] 	70
[Three/CD, men/NNS, sit/VBP, on/IN, a/DT, bench/NN, ./.] 	[two/CD, men/NNS, sit/VBP, on/IN, a/DT, bench/NN, ./.] 	71
[The/DT, road/NN, is/VBZ, long/RB, ./.] 	[There/EX, is/VBZ, nothing/NN, on/IN, the/DT, side/NN, of/IN, the/DT, road/NN, ./.] 	72
[A/DT, small/JJ, blond/JJ, boy/NN, slides/NNS, head/VBP, first/RB, down/IN, a/DT, blue/JJ, playground/NN, slide/NN, toward/IN, another/DT, blond/JJ, youth/NN, ./.] 	[A/DT, young/JJ, boy/NN, with/IN, his/PRP$, hair/NN, standing/VBG, up/RP, ,/,, is/VBZ, sliding/VBG, down/RP, a/DT, blue/JJ, slide/NN] 	73
[The/DT, four/CD, women/NNS, are/VBP, practicing/VBG, for/IN, a/DT, upcoming/JJ, match/NN, ./.] 	[The/DT, women/NNS, are/VBP, in/IN, a/DT, play/NN] 	74
[a/DT, young/JJ, man/NN, wearing/VBG, a/DT, white/JJ, t-shirt/NN, and/CC, green/JJ, and/CC, black/JJ, shorts/NNS, standing/VBG, on/IN, a/DT, stump/NN, ./.] 	[A/DT, man/NN, wearing/VBG, a/DT, white/JJ, shirt/NN, and/CC, red/JJ, and/CC, black/JJ, shorts/NNS, is/VBZ, running/VBG, on/IN, the/DT, sidewalk/NN, ./.] 	75
[man/NN, on/IN, steps/NNS] 	[A/DT, man/NN, sits/VBZ, on/IN, steps/NNS, ./.] 	76
[A/DT, dog/NN, under/IN, the/DT, stairs/NNS] 	[A/DT, dog/NN, is/VBZ, resting/VBG, on/IN, the/DT, stairs/NNS, ./.] 	77
[There/EX, is/VBZ, a/DT, young/JJ, girl/NN, ./.] 	[There/EX, is/VBZ, a/DT, young/JJ, boy/NN, with/IN, the/DT, woman/NN, ./.] 	78
[Two/CD, women/NNS, give/VBP, a/DT, demonstration/NN, at/IN, a/DT, Renaissance/NNP, Fair/NNP, ./.] 	[Two/CD, people/NNS, are/VBP, doing/VBG, a/DT, demonstration/NN, at/IN, a/DT, renaissance/NN, fair/NN, ./.] 	79
[A/DT, woman/NN, paints/NNS, a/DT, picture/NN, of/IN, a/DT, large/JJ, building/NN, which/WDT, can/MD, be/VB, seen/VBN, in/IN, the/DT, background/NN, ./.] 	[A/DT, person/NN, paints/NNS, a/DT, picture/NN, of/IN, a/DT, large/JJ, building/NN, which/WDT, can/MD, be/VB, seen/VBN, in/IN, the/DT, background/NN, ./.] 	80
[Some/DT, guy/NN, sitting/VBG, on/IN, a/DT, couch/NN, watching/VBG, television/NN, ./.] 	[A/DT, guy/NN, is/VBZ, sitting/VBG, on/IN, the/DT, couch/NN, watching/VBG, TV/NN] 	81
[A/DT, woman/NN, is/VBZ, posing/VBG, for/IN, a/DT, Christmas/NNP, card/NN, ./.] 	[A/DT, girl/NN, is/VBZ, taking/VBG, a/DT, photo/NN, ./.] 	82
[Two/CD, kids/NNS, are/VBP, playing/VBG, a/DT, game/NN, of/IN, Foosball/NNP, ./.] 	[The/DT, kids/NNS, are/VBP, playing/VBG, a/DT, game/NN, with/IN, each/DT, other/JJ, ./.] 	83
[The/DT, man/NN, is/VBZ, in/IN, a/DT, deserted/VBN, field/NN, ./.] 	[The/DT, man/NN, is/VBZ, outside/JJ, in/IN, the/DT, field/NN, ./.] 	84
[A/DT, little/JJ, boy/NN, is/VBZ, drinking/VBG, from/IN, a/DT, juice/NN, packet/NN, ./.] 	[A/DT, boy/NN, is/VBZ, drinking/VBG, from/IN, a/DT, juice/NN, packet/NN, ./.] 	85
[A/DT, man/NN, has/VBZ, his/PRP$, skis/NNS, ready/JJ, for/IN, the/DT, field/NN, to/TO, get/VB, iced/JJ, out/IN] 	[A/DT, man/NN, on/IN, a/DT, boat/NN, getting/VBG, ready/JJ, to/TO, pull/VB, in/IN, his/PRP$, net/NN, to/TO, see/VB, what/WP, he/PRP, caught/VBD, ./.] 	86
[The/DT, biker/NN, is/VBZ, doing/VBG, dangerous/JJ, stunts/NNS, ./.] 	[A/DT, biker/NN, is/VBZ, doing/VBG, stunts/NNS, ./.] 	87
[A/DT, musician/NN, is/VBZ, smearing/VBG, jam/NN, on/IN, his/PRP$, white/JJ, guitar/NN, at/IN, a/DT, concert/NN, ./.] 	[Trombonist/NN, playing/VBG, the/DT, her/PRP$, instrument/NN, in/IN, a/DT, band/NN, for/IN, a/DT, parade/NN, ./.] 	88
[A/DT, man/NN, is/VBZ, working/VBG, on/IN, his/PRP$, farm/NN, ./.] 	[An/DT, old/JJ, guy/NN, is/VBZ, working/VBG, on/IN, his/PRP$, farm/NN, and/CC, a/DT, cow/NN, kicks/VBZ, him/PRP, ./.] 	89
[A/DT, pair/NN, of/IN, young/JJ, boys/NNS, in/IN, t-shirts/NNS, are/VBP, hiding/VBG, in/IN, the/DT, woods/NNS, with/IN, one/CD, looking/VBG, aghast/JJ, ./.] 	[Two/CD, smiling/VBG, little/JJ, girls/NNS, playing/VBG, in/IN, a/DT, fountain/NN, with/IN, other/JJ, people/NNS, ./.] 	90
[A/DT, group/NN, of/IN, people/NNS, playing/VBG, soccer/NN, on/IN, a/DT, soccer/NN, field/NN, in/IN, front/NN, of/IN, a/DT, crowd/NN, ./.] 	[A/DT, group/NN, of/IN, men/NNS, playing/VBG, soccer/NN, in/IN, a/DT, stadium/NN, full/JJ, of/IN, people/NNS, ./.] 	91
[A/DT, man/NN, is/VBZ, enjoying/VBG, watching/VBG, three/CD, asian/JJ, children/NNS, dance/NN, ./.] 	[A/DT, man/NN, is/VBZ, watching/VBG, three/CD, asian/JJ, kids/NNS, dance/NN, ./.] 	92
[A/DT, girl/NN, is/VBZ, talking/VBG, to/TO, her/PRP$, dad/NN, on/IN, a/DT, cellphone/NN, ./.] 	[a/DT, girl/NN, is/VBZ, talking/VBG, on/IN, her/PRP$, phone/NN, ./.] 	93
[One/CD, person/NN, wields/VBZ, an/DT, umbrella/NN, ./.] 	[One/CD, person/NN, is/VBZ, holding/VBG, an/DT, umbrella/NN, ./.] 	94
[A/DT, woman/NN, walking/VBG, down/IN, the/DT, side/NN, of/IN, a/DT, highway/NN, ./.] 	[A/DT, man/NN, is/VBZ, standing/VBG, on/IN, one/CD, feet/NNS, on/IN, a/DT, bridge/NN, ./.] 	95
[A/DT, group/NN, of/IN, teenagers/NNS, jumping/VBG, and/CC, having/VBG, a/DT, good/JJ, time/NN, ./.] 	[A/DT, group/NN, of/IN, kids/NNS, having/VBG, a/DT, good/JJ, time/NN, ./.] 	96
[A/DT, man/NN, calling/VBG, for/IN, a/DT, taxi/NN, at/IN, the/DT, airport/NN, on/IN, a/DT, sunny/JJ, day/NN, ./.] 	[A/DT, man/NN, is/VBZ, outside/JJ, on/IN, a/DT, July/NNP, day/NN, ./.] 	97
[A/DT, man/NN, is/VBZ, playing/VBG, his/PRP$, guitar/NN, at/IN, Joe/NNP, 's/POS, Cafe/NNP, ./.] 	[The/DT, man/NN, is/VBZ, playing/VBG, the/DT, drums/NNS, for/IN, his/PRP$, mom/NN, ./.] 	98
[A/DT, young/JJ, boy/NN, has/VBZ, a/DT, red/JJ, fishing/NN, pole/NN, ./.] 	[A/DT, young/JJ, boy/NN, stands/VBZ, over/IN, a/DT, bridge/NN, with/IN, a/DT, fishing/NN, pole/NN, ./.] 	99
[A/DT, player/NN, bounces/VBZ, a/DT, ball/NN, ./.] 	[A/DT, player/NN, catching/VBG, a/DT, ball/NN, ./.] 	100
[Someone/NN, is/VBZ, on/IN, a/DT, blanket/NN, ./.] 	[The/DT, person/NN, is/VBZ, making/VBG, a/DT, blanket/NN, ./.] 	101
[Men/NN, competing/VBG, in/IN, a/DT, contest/NN, ./.] 	[Two/CD, women/NNS, compete/VBP, in/IN, a/DT, contest/NN, ./.] 	102
[The/DT, puppy/NN, is/VBZ, outdoor/JJ, ./.] 	[A/DT, man/NN, in/IN, printed/VBN, board/NN, shorts/NNS, is/VBZ, doing/VBG, a/DT, yoga/NN, pose/VB, on/IN, the/DT, beach/NN, ./.] 	103
[The/DT, man/NN, has/VBZ, a/DT, orange/JJ, shirt/NN, ./.] 	[The/DT, woman/NN, has/VBZ, a/DT, orange/JJ, shirt/NN, ./.] 	104
[The/DT, two/CD, kids/NNS, look/VBP, at/IN, the/DT, products/NNS, sold/VBD, inside/IN, the/DT, subway/NN, shop/NN, ./.] 	[The/DT, kids/NNS, are/VBP, stealing/VBG, from/IN, a/DT, store/NN, ./.] 	105
[The/DT, baby/NN, boy/NN, wants/VBZ, his/PRP$, mother/NN, ./.] 	[A/DT, baby/NN, boy/NN, is/VBZ, happy/JJ, to/TO, see/VB, his/PRP$, mother/NN, ./.] 	106
[A/DT, young/JJ, girl/NN, in/IN, a/DT, pink/JJ, jacket/NN, is/VBZ, playing/VBG, a/DT, board/NN, game/NN, ./.] 	[A/DT, boy/NN, in/IN, a/DT, jacket/NN, playing/NN, ./.] 	107
[A/DT, smiling/VBG, Caucasian/JJ, male/JJ, wearing/VBG, a/DT, blue/JJ, and/CC, black/JJ, striped/JJ, shirt/NN, it/PRP, about/IN, to/TO, take/VB, a/DT, photograph/NN, ./.] 	[A/DT, man/NN, in/IN, a/DT, white/JJ, shirt/NN, and/CC, black/JJ, pants/NNS, is/VBZ, smiling/VBG, ./.] 	108
[A/DT, person/NN, is/VBZ, scaling/VBG, a/DT, rock/NN, wall/NN, ./.] 	[A/DT, person/NN, and/CC, a/DT, horse/NN, are/VBP, above/IN, a/DT, fence/NN, ./.] 	109
[A/DT, boy/NN, is/VBZ, very/RB, close/JJ, to/TO, a/DT, girl/NN, ./.] 	[A/DT, girl/NN, is/VBZ, close/JJ, to/TO, a/DT, boy/NN, whose/WP$, face/NN, is/VBZ, not/RB, shown/VBN, ./.] 	110
[Two/CD, men/NNS, are/VBP, playing/VBG, a/DT, game/NN, of/IN, Scrabble/NNP, together/RB, ./.] 	[The/DT, two/CD, women/NNS, are/VBP, playing/VBG, a/DT, game/NN, ./.] 	111
[Six/CD, children/NNS, are/VBP, cleaning/VBG, a/DT, room/NN, ./.] 	[Two/CD, male/JJ, children/NNS, cleaning/VBG, up/RP, leaves/VBZ, in/IN, a/DT, parking/NN, lot/NN, ./.] 	112
[The/DT, girl/NN, is/VBZ, very/RB, skilled/JJ, and/CC, practices/NNS, a/DT, lot/NN, ./.] 	[The/DT, man/NN, is/VBZ, very/RB, skilled/JJ, ./.] 	113
